苦しむ	1267
一家	1267
評判	1267
物質	1266
ぶり	1266
手段	1265
この間	1264
観察	1263
建物	1263
往く	1262
伝	1262
折る	1261
天下	1260
ぎ	1260
今年	1260
香	1259
先刻	1257
倍	1256
説く	1256
立ち上る	1252
対	1252
かぶる	1252
尤も	1250
枕	1250
園	1249
一部	1249
輪	1248
蔭	1246
おもしろい	1245
みえる	1245
柱	1244
映る	1243
良人	1242
プロレタリア	1239
暇	1239
発達	1238
丈	1237
隣	1237
選ぶ	1236
っと	1235
元来	1234
足りる	1234
墓	1233
してやる	1233
中央	1232
たまらない	1231
同じく	1230
愉快	1230
ン	1229
み	1229
剣	1226
付	1226
硝子	1226
地球	1224
舌	1224
綺麗	1223
あく	1222
自覚	1222
うえ	1221
弟子	1221
柄	1218
幸い	1218
只	1217
利用	1216
勢	1215
どうやら	1215
せしめる	1214
文句	1214
足る	1213
介	1213
教授	1212
坊	1212
給う	1211
永い	1211
紹介	1211
仰る	1210
なにか	1210
浮ぶ	1209
つき	1209
明ける	1209
官	1208
河	1208
紅	1208
ソヴェト	1207
大勢	1207
貴様	1206
冗談	1206
暑い	1206
必然	1206
負ける	1204
消す	1203
殿様	1203
殆ど	1203
近代	1202
女子	1201
Ａ	1201
美人	1200
飛び出す	1200
霧	1200
内部	1199
病人	1199
寸	1198
壺	1197
濃い	1197
合わせる	1197
ちまう	1197
はく	1195
或いは	1195
3	1193
申し上げる	1193
ゆる	1192
廻す	1192
構う	1192
わざと	1192
依る	1191
呼吸	1191
留守	1191
逆	1191
——。	1190
位置	1190
むずかしい	1190
種類	1189
パン	1189
流行	1189
道具	1188
鼠	1188
果して	1187
しばしば	1185
岸本	1184
ロシア	1184
梅	1184
悪	1184
都	1183
若	1182
優しい	1182
上がる	1179
それにしても	1178
主観	1177
一月	1177
おどろく	1177
右手	1176
のむ	1176
許	1175
ネ	1174
正面	1174
奇	1174
邪魔	1174
つまる	1173
色々	1172
ほんの	1172
指す	1172
死骸	1172
あう	1171
にかけて	1169
代表	1169
次に	1168
食物	1168
しかる	1168
荷物	1167
喜び	1167
模様	1165
思わず	1165
あわてる	1164
テーブル	1163
原	1163
間違い	1163
平和	1163
民	1162
油	1161
心得る	1161
まえる	1161
船長	1160
姉さん	1160
仲	1160
最近	1158
いくらか	1158
世紀	1157
ひ	1156
まア	1154
きこえる	1154
祖母	1153
熊	1153
珍	1153
民族	1152
民主	1152
巡査	1152
火星	1151
後ろ	1151
独立	1151
苦痛	1151
機関	1150
この世	1150
尾	1148
ひる	1146
検事	1145
お願い	1145
兄弟	1143
放つ	1142
教師	1142
自殺	1141
夢中	1141
事務	1140
日常	1140
解決	1139
ろ	1139
善	1139
ヲ	1138
縦	1138
湧く	1138
下宿	1137
紫	1137
五月	1137
後に	1137
菊	1136
画家	1135
甚だ	1133
好む	1133
もとより	1133
うなずく	1133
民衆	1132
兎	1132
丘	1132
寄せる	1132
越す	1131
巻く	1130
文明	1129
残念	1129
ページ	1128
ごく	1128
のぼる	1128
矛盾	1127
0	1126
忍ぶ	1126
刑事	1124
泊る	1124
折れる	1123
裾	1122
通う	1122
散る	1121
可愛い	1120
素子	1119
其	1119
三郎	1118
きれる	1118
陥る	1118
鳴く	1118
失敗	1117
対立	1115
大将	1115
術	1115
京	1114
このごろ	1114
互に	1113
よほど	1112
しも	1111
生まれる	1111
欲しい	1110
ほんとう	1110
複雑	1109
故に	1109
行為	1109
解く	1109
又は	1108
ひどく	1108
足音	1108
健康	1107
見当	1107
温泉	1106
群	1106
苦労	1106
張	1105
固い	1105
愛する	1104
発表	1104
紋	1104
我慢	1104
一定	1102
乃至	1101
試みる	1100
流れ	1099
某	1099
否	1099
通す	1099
匂い	1098
散歩	1097
のう	1097
虎	1097
艶	1096
きれい	1096
遠慮	1096
桜	1096
ふたり	1096
宅	1095
吸う	1095
くせ	1095
疑い	1094
